month,type,numbers
2016-04,Cars,9819
2016-04,Motorcycles,3752
2016-04,Goods and Other Vehicles,1943
2016-04,Buses,209
2016-05,Cars,10028
2016-05,Motorcycles,3559
2016-05,Goods and Other Vehicles,1454
2016-05,Buses,121
2016-06,Cars,10721
2016-06,Motorcycles,3711
2016-06,Goods and Other Vehicles,1760
2016-06,Buses,177
2016-07,Cars,9867
2016-07,Motorcycles,3592
2016-07,Goods and Other Vehicles,1986
2016-07,Buses,138
2016-08,Cars,9767
2016-08,Motorcycles,3731
2016-08,Goods and Other Vehicles,1788
2016-08,Buses,275
2016-09,Cars,8897
2016-09,Motorcycles,3479
2016-09,Goods and Other Vehicles,1650
2016-09,Buses,164
2016-10,Cars,9033
2016-10,Motorcycles,3388
2016-10,Goods and Other Vehicles,1695
2016-10,Buses,136
2016-11,Cars,9150
2016-11,Motorcycles,3387
2016-11,Goods and Other Vehicles,1497
2016-11,Buses,161
2016-12,Cars,8927
2016-12,Motorcycles,3659
2016-12,Goods and Other Vehicles,1728
2016-12,Buses,255
2017-01,Cars,9510
2017-01,Motorcycles,3212
2017-01,Goods and Other Vehicles,1522
2017-01,Buses,168
2017-02,Cars,8247
2017-02,Motorcycles,3483
2017-02,Goods and Other Vehicles,1770
2017-02,Buses,148
2017-03,Cars,10903
2017-03,Motorcycles,4231
2017-03,Goods and Other Vehicles,4281
2017-03,Buses,279
2017-04,Cars,9353
2017-04,Motorcycles,3508
2017-04,Goods and Other Vehicles,1954
2017-04,Buses,154
2017-05,Cars,10350
2017-05,Motorcycles,3668
2017-05,Goods and Other Vehicles,1110
2017-05,Buses,82
2017-06,Cars,9554
2017-06,Motorcycles,3818
2017-06,Goods and Other Vehicles,1291
2017-06,Buses,127
2017-07,Cars,9260
2017-07,Motorcycles,4079
2017-07,Goods and Other Vehicles,1939
2017-07,Buses,158
2017-08,Cars,9436
2017-08,Motorcycles,3910
2017-08,Goods and Other Vehicles,2017
2017-08,Buses,137
2017-09,Cars,8112
2017-09,Motorcycles,3744
2017-09,Goods and Other Vehicles,1438
2017-09,Buses,135
2017-10,Cars,8476
2017-10,Motorcycles,3340
2017-10,Goods and Other Vehicles,1481
2017-10,Buses,110
2017-11,Cars,9775
2017-11,Motorcycles,3824
2017-11,Goods and Other Vehicles,1682
2017-11,Buses,136
2017-12,Cars,9004
2017-12,Motorcycles,4019
2017-12,Goods and Other Vehicles,1447
2017-12,Buses,167
2018-01,Cars,9543
2018-01,Motorcycles,3743
2018-01,Goods and Other Vehicles,1432
2018-01,Buses,125
2018-02,Cars,6478
2018-02,Motorcycles,2900
2018-02,Goods and Other Vehicles,1003
2018-02,Buses,124
